observer,trial,x,y,dur,onset,offset,n
1,145,982.2,543,1290,0,2027635,1
1,145,980.6,373.9,136,1328,2027809,2
1,145,976.6,302.8,366,1484,2028195,3
1,146,979.5,542.9,422,0,2032135,1
1,146,983,531.1,624,622,2032959,2
1,146,912.2,404.6,120,1286,2033119,3
1,146,981.6,308.4,380,1430,2033523,4
1,147,981,539.9,1248,0,2038195,1
1,147,974.3,335.6,164,1292,2038403,2
1,147,977.5,297.3,238,1470,2038655,3
1,148,987.3,533.3,1396,0,2043559,1
1,148,1207.6,642,632,1432,2044227,2
1,149,977.3,553.5,474,0,2048319,1
1,149,978.8,560,700,614,2049159,2
1,149,1059.7,440.7,158,1350,2049353,3
1,149,970.9,799.9,758,1554,2050157,4
1,150,984,548.2,1212,0,2055109,1
1,150,1005.3,764.9,176,1264,2055337,2
1,150,990.4,797.1,622,1454,2055973,3
1,151,959.4,527.9,1200,0,2081659,1
1,151,977.4,349.5,138,1240,2081837,2
1,151,969.4,298.7,554,1394,2082407,3
1,151,984.9,311.4,482,2108,2083049,4
1,152,984.6,540.3,1296,0,2087463,1
1,152,995.4,692.7,164,1328,2087659,2
1,152,993.9,774.3,374,1512,2088053,3
1,153,987.7,536.8,1290,0,2093191,1
1,153,816.3,460.3,146,1326,2093373,2
1,153,776.6,432.1,510,1488,2093899,3
1,154,980.9,537.7,440,0,2097625,1
1,154,986.7,533.6,568,670,2098423,2
1,154,990.1,348.3,202,1278,2098665,3
1,154,972.9,317.4,280,1492,2098957,4
1,155,982.7,546.1,1298,0,2103785,1
1,155,770.9,460.1,156,1338,2103981,2
1,155,747.5,422.8,574,1510,2104571,3
1,156,974,537.3,344,0,2108731,1
1,156,984.5,540.8,632,556,2109575,2
1,156,733.8,545.6,130,1228,2109745,3
1,156,1001.5,324.1,166,1410,2109963,4
1,156,982.2,300.9,664,1588,2110639,5
1,157,982.7,535.7,506,0,2114715,1
1,157,984.6,500.3,822,522,2115553,2
1,157,984.1,334.8,166,1384,2115759,3
1,157,979.7,299.7,752,1560,2116521,4
1,158,993.8,523.7,1510,0,2123599,1
1,158,798.2,603.3,154,1548,2123791,2
1,158,771.3,639.8,518,1720,2124327,3
1,159,993.1,525.4,1248,0,2130325,1
1,159,1075.9,413.7,138,1284,2130499,2
1,159,1000.8,316,320,1446,2130843,3
1,159,996.1,306.4,310,1772,2131159,4
1,160,989.7,537.2,1240,0,2136897,1
1,160,877.6,420.8,216,1278,2137151,2
1,160,770.9,432.4,542,1516,2137715,3
1,161,988.9,552.7,1250,0,2142887,1
1,161,1169,485.5,162,1286,2143085,2
1,161,1195.8,456.9,682,1462,2143781,3
1,162,991.6,557.6,946,0,2148689,1
1,162,985.1,548.9,226,1122,2149091,2
1,162,1148.2,564.7,148,1376,2149267,3
1,162,980.4,789.2,262,1574,2149579,4
1,162,988.6,809.5,572,1842,2150157,5
