"","observer","trial","x","y","dur","onset","offset","n","aoi","aoi2"
"146","1",55,12.2,-252.6,687,1116,1353830,3,"6","target"
"147","1",56,5.29999999999995,-13.7,274,-274,1357354,1,"c","centre"
"148","1",56,15.1,4.20000000000005,901,14,1358269,2,"c","centre"
"149","1",56,-126.4,-138,91,952,1358397,3,"d5","distracter"
"150","1",56,-210.1,-123.3,680,1068,1359102,4,"5","target"
"151","1",57,27.5,-10.2,1194,-1014,1363658,1,"c","centre"
"152","1",57,274.6,34.4,86,220,1363784,2,"d1","distracter"
"153","1",57,235.9,97.4,653,330,1364461,3,"2","target"
"154","1",58,14,-19.6,28,-28,1368461,1,"c","centre"
"155","1",58,10.3,1.20000000000005,741,12,1369214,2,"c","centre"
"156","1",58,6.60000000000002,15.7,420,767,1369648,3,"c","centre"
"157","1",58,-83.4,-213,72,1238,1369771,4,"d5","distracter"
"158","1",58,236.9,-125.5,613,1359,1370433,5,"1","target"
"159","1",59,13.4,-12.3,1211,-1022,1375435,1,"c","centre"
"160","1",59,-207.2,-121.1,731,231,1376208,2,"5","target"
"161","1",60,17.1,-6.70000000000005,1201,-1013,1383501,1,"c","centre"
"162","1",60,228.2,-134.8,724,230,1384267,2,"1","target"
"163","1",62,11.9,-15.6,1217,-1021,1395577,1,"c","centre"
"164","1",62,265.5,-39.3,129,237,1395747,2,"d1","distracter"
"165","1",62,21.6,-250.8,567,420,1396368,3,"6","target"
"166","1",63,13.9,-14.1,1203,-1022,1400613,1,"c","centre"
"167","1",63,260.9,59.2,46,221,1400699,2,"d1","distracter"
"168","1",63,230.1,120,668,294,1401394,3,"2","target"
"169","1",64,14.1,-20.4,237,-237,1404839,1,"c","centre"
"170","1",64,15.7,-11.3,955,10,1405804,2,"c","centre"
"171","1",64,225.8,111.5,733,1004,1406576,3,"2","target"
"172","1",65,12.8,-11.9,1255,-1019,1410635,1,"c","centre"
"173","1",65,15.2,232.8,691,274,1411364,2,"3","target"
"174","1",66,8.60000000000002,-18,260,-260,1414879,1,"c","centre"
"175","1",66,5.70000000000005,1.70000000000005,930,18,1415827,2,"c","centre"
"176","1",66,213.9,-124.9,135,989,1416003,3,"1","target"
"177","1",66,230.4,-136.4,582,1132,1416593,4,"1","target"
"178","1",67,13,-14.8,1215,-1014,1421035,1,"c","centre"
"179","1",67,211.7,115,156,240,1421230,2,"2","target"
"180","1",67,223.7,104.6,516,413,1421763,3,"2","target"
"181","1",68,4.20000000000005,-10.1,239,-239,1424926,1,"c","centre"
"182","1",68,9.20000000000005,-1.20000000000005,958,14,1425898,2,"c","centre"
"183","1",68,250.2,-143.8,146,1013,1426085,3,"1","target"
"184","1",68,243.9,-130.6,456,1168,1426550,4,"1","target"
"185","1",69,4.20000000000005,3.79999999999995,1222,-1014,1431426,1,"c","centre"
"186","1",69,0.600000000000023,248.7,730,247,1432195,2,"3","target"
"187","1",70,9,-7.20000000000005,430,-430,1435769,1,"c","centre"
"188","1",70,13.5,9,768,18,1436555,2,"c","centre"
"189","1",70,105.2,-200,78,823,1436670,3,"d6","distracter"
"190","1",70,-236.5,-110.5,151,948,1436868,4,"5","target"
"191","1",70,-212.7,-128.7,503,1109,1437381,5,"5","target"
"192","1",71,19.6,-5.29999999999995,1234,-1012,1441741,1,"c","centre"
"193","1",71,22.8,228.8,639,261,1442419,2,"3","target"
"194","1",72,13.6,-9.29999999999995,1196,-1016,1446683,1,"c","centre"
"195","1",72,234.9,-141.6,602,218,1447323,2,"1","target"
"196","1",73,24.6,-6.89999999999998,1217,-1013,1464259,1,"c","centre"
"197","1",73,4,243.5,708,243,1465006,2,"3","target"
"198","1",74,13.6,-13.2,1209,-1018,1469463,1,"c","centre"
"199","1",74,18.4,234.3,720,232,1470224,2,"3","target"
"200","1",75,11.1,-5.20000000000005,1206,-1015,1474447,1,"c","centre"
"201","1",75,-1.39999999999998,235.1,717,232,1475205,2,"3","target"
"202","1",76,19.7,-17.1,1188,-1014,1479463,1,"c","centre"
"203","1",76,-217.3,-131,670,223,1480182,2,"5","target"
"204","1",77,11.9,-13.5,646,-646,1484256,1,"c","centre"
"205","1",77,17,-0.5,564,15,1484835,2,"c","centre"
"206","1",77,235.5,-148.6,129,620,1485005,3,"1","target"
"207","1",77,230.8,-146,482,756,1485494,4,"1","target"
"208","1",78,18.6,-11.3,1204,-1014,1490164,1,"c","centre"
"209","1",78,43.4,-234.3,123,226,1490323,2,"6","target"
"210","1",78,20,-250.8,607,359,1490940,3,"6","target"
"211","1",79,12.9,0.700000000000045,1184,-1016,1495142,1,"c","centre"
"212","1",79,-203.2,-133,125,241,1495340,2,"5","target"
"213","1",79,-214.1,-119.6,560,376,1495910,3,"5","target"
"214","1",80,17,-11.3,1204,-1020,1500759,1,"c","centre"
"215","1",80,-223.5,-124.3,139,224,1500938,2,"5","target"
"216","1",80,-211,-126,496,383,1501454,3,"5","target"
"217","1",81,12.4,-17.3,307,-307,1504952,1,"c","centre"
"218","1",81,13.4,-7,879,7,1505838,2,"c","centre"
"219","1",81,-211,-33.6,66,927,1505945,3,"d4","distracter"
"220","1",81,-189,-118.2,645,1017,1506614,4,"5","target"
"221","1",82,17.2,-12.5,1199,-1014,1511228,1,"c","centre"
"222","1",82,193.9,-123.6,125,221,1511389,2,"1","target"
"223","1",82,214.9,-138.9,578,365,1511986,3,"1","target"
"224","1",83,5.79999999999995,-20.5,178,-178,1515591,1,"c","centre"
"225","1",83,20.2,-2.79999999999995,1017,17,1516625,2,"c","centre"
"226","1",83,-54.2,224.3,113,1075,1516779,3,"3","target"
"227","1",83,4.20000000000005,249.1,568,1213,1517372,4,"3","target"
"228","1",84,11.8,-14.8,1203,-1013,1522150,1,"c","centre"
"229","1",84,-197.4,-103.1,117,230,1522307,2,"5","target"
"230","1",84,-215.7,-138.7,597,363,1522920,3,"5","target"
"231","1",85,16.9,-11.5,1239,-1013,1527820,1,"c","centre"
"232","1",85,256.3,-11.5,89,266,1527949,2,"d1","distracter"
"233","1",85,-13,255.1,145,400,1528139,3,"3","target"
"234","1",85,10.7,242.7,455,555,1528604,4,"3","target"
"235","1",86,9.70000000000005,-7.20000000000005,1189,-1020,1532780,1,"c","centre"
"236","1",86,271.7,-18.8,459,211,1533281,2,"d1","distracter"
"237","1",86,3.79999999999995,234.3,162,714,1533487,3,"3","target"
"238","1",87,0.299999999999955,-6.60000000000002,1220,-1014,1537618,1,"c","centre"
"239","1",87,-204.3,-77.2,22,256,1537690,2,"5","blank"
"240","1",87,-216.4,134.5,569,317,1538298,3,"4","target"
"241","1",87,-232.6,42.8,29,914,1538355,4,"d4","blank"
"242","1",88,5.60000000000002,-3.20000000000005,1194,-1013,1542577,1,"c","centre"
"243","1",89,11.7,-15.1,1214,-1014,1548163,1,"c","centre"
"244","1",89,-218.5,114.5,707,241,1548911,2,"4","target"
"245","1",90,9.89999999999998,-9.89999999999998,1213,-1017,1554493,1,"c","centre"
"246","1",90,213.2,105.3,716,234,1555247,2,"2","target"
"247","1",91,7.20000000000005,-15,1196,-1014,1559629,1,"c","centre"
"248","1",91,14.6,-251.6,564,222,1560233,2,"6","target"
"249","1",92,10.3,-14.3,1209,-1013,1564944,1,"c","centre"
"250","1",92,234.7,114.3,715,236,1565699,2,"2","target"
"251","1",93,2,-11.8,298,-298,1568926,1,"c","centre"
"252","1",93,0.399999999999977,-10.1,893,9,1569828,2,"c","centre"
"253","1",93,-1.79999999999995,-255.9,575,940,1570441,3,"6","target"
"254","1",94,5.20000000000005,-18.3,1197,-1020,1574559,1,"c","centre"
"255","1",94,-122.1,134.1,78,213,1574673,2,"d3","blank"
"256","1",94,-203.6,109.8,609,318,1575309,3,"4","target"
"257","1",95,-3.29999999999995,-19.3,358,-358,1578528,1,"c","centre"
"258","1",95,-2.60000000000002,-6.29999999999995,827,12,1579367,2,"c","centre"
"259","1",95,-186.7,104.5,112,903,1579543,3,"4","target"
"260","1",95,-213.7,114.6,499,1030,1580057,4,"4","target"
"261","1",95,-201.3,9.20000000000005,33,1553,1580114,5,"d4","blank"
"262","1",96,-1.10000000000002,-11.6,1205,-1008,1584447,1,"c","centre"
"263","1",96,189.4,104.2,118,236,1584604,2,"2","target"
"264","1",96,204.2,109.4,510,376,1585136,3,"2","target"
"265","1",97,5.60000000000002,-4.89999999999998,323,-323,1588692,1,"c","centre"
"266","1",97,7.70000000000005,8.79999999999995,861,10,1589563,2,"c","centre"
"267","1",97,166.6,-176,106,921,1589719,3,"d6","distracter"
"268","1",97,211.6,-129.2,593,1051,1590336,4,"1","target"
"269","1",98,10.7,-15.2,301,-301,1593463,1,"c","centre"
"270","1",98,4.39999999999998,32.1,218,20,1593701,2,"c","centre"
"271","1",98,6.5,1,658,249,1594370,3,"c","centre"
"272","1",98,10.7,240,589,949,1595001,4,"3","target"
"273","1",98,-99.9,-48.9,40,1598,1595101,5,"0","blank"
"274","1",99,8.79999999999995,-13.6,289,-289,1598360,1,"c","centre"
"275","1",99,19.5,8.70000000000005,870,19,1599249,2,"c","centre"
"276","1",99,165.4,168,110,928,1599398,3,"d2","distracter"
"277","1",99,216.1,114.8,619,1061,1600040,4,"2","target"
"278","1",100,0.299999999999955,-19.9,235,-235,1603418,1,"c","centre"
"279","1",100,168.9,61.1,126,24,1603568,2,"2","blank"
"280","1",100,7.60000000000002,-1.39999999999998,770,181,1604369,3,"c","centre"
"281","1",100,-242.8,-9.29999999999995,115,999,1604532,4,"d4","distracter"
"282","1",100,233,-126.6,565,1182,1605165,5,"1","target"
"283","1",101,7.20000000000005,-11.2,1210,-1022,1609124,1,"c","centre"
"284","1",101,210.3,-129.6,118,235,1609289,2,"1","target"
"285","1",101,237.2,-134.1,575,374,1609885,3,"1","target"
"286","1",102,8,-10.1,1200,-1013,1614523,1,"c","centre"
"287","1",102,161.8,-121.5,57,224,1614617,2,"1","target"
"288","1",102,232.6,-123.5,628,317,1615281,3,"1","target"
"289","1",103,3.20000000000005,-14.6,1214,-1014,1620003,1,"c","centre"
"290","1",103,-203.7,-128.6,705,248,1620756,2,"5","target"
"291","1",104,8.20000000000005,-4,1203,-1014,1624993,1,"c","centre"
"292","1",104,-231.1,-8.70000000000005,126,227,1625157,2,"d4","distracter"
"293","1",104,223.4,105.8,622,410,1625836,3,"2","target"
"294","1",105,-7.79999999999995,-23.6,223,-223,1629897,1,"c","centre"
"295","1",105,2.89999999999998,-6.10000000000002,978,10,1630885,2,"c","centre"
"296","1",105,253.7,-21.6,95,1027,1631019,3,"d1","distracter"
"297","1",105,-212.5,114.2,545,1176,1631618,4,"4","target"
"298","1",106,9.79999999999995,-11.9,1221,-1017,1635825,1,"c","centre"
"299","1",106,-92.6,192.7,760,239,1636620,2,"d3","distracter"
"300","1",107,7.29999999999995,-8.39999999999998,1214,-1013,1641073,1,"c","centre"
"301","1",107,-35,-209.4,67,251,1641190,2,"6","target"
"302","1",107,11.6,-248.3,642,352,1641866,3,"6","target"
"303","1",108,7.70000000000005,-13.2,1203,-1013,1648063,1,"c","centre"
"304","1",108,119.2,-221.8,94,232,1648199,2,"d6","distracter"
"305","1",108,-223,-134.9,639,386,1648898,3,"5","target"
"306","1",109,9.89999999999998,21.8,55,-55,1729423,1,"c","centre"
"307","1",109,7.39999999999998,21.3,1131,15,1730569,2,"c","centre"
"308","1",109,-121.6,226.4,757,1199,1731379,3,"d3","distracter"
"309","1",110,17.3,-0.100000000000023,232,-232,1735437,1,"c","centre"
"310","1",110,10,3.10000000000002,977,9,1736423,2,"c","centre"
"311","1",110,-196.4,-95,112,1024,1736573,3,"5","target"
"312","1",110,-224.6,-122.2,610,1151,1737198,4,"5","target"
"313","1",111,18.2,8.89999999999998,1221,-1012,1745144,1,"c","centre"
"314","1",111,-214.3,-125.8,698,247,1745880,2,"5","target"
"315","1",112,4.29999999999995,-0.399999999999977,1214,-1014,1750583,1,"c","centre"
"316","1",112,-209,-128.9,759,242,1751384,2,"5","target"
"317","1",113,11.5,-3.89999999999998,53,-53,1754924,1,"c","centre"
"318","1",113,11.5,16.1,1170,20,1756114,2,"c","centre"
"319","1",113,-95.2,-228,87,1227,1756238,3,"d5","distracter"
"320","1",113,36.6,251.2,140,1367,1756431,4,"3","target"
"321","1",113,14.4,260.8,421,1519,1756864,5,"3","target"
"322","1",115,16.5,8.29999999999995,1194,-1014,1766248,1,"c","centre"
"323","1",115,232.6,123.7,749,219,1767036,2,"2","target"
"324","1",116,3.20000000000005,9.79999999999995,1218,-1020,1771467,1,"c","centre"
"325","1",116,-262.4,7.20000000000005,62,240,1771571,2,"d4","distracter"
"326","1",116,12.5,-234.4,149,341,1771759,3,"6","target"
"327","1",116,1.20000000000005,-274,460,509,1772238,4,"6","target"
"328","1",117,9.5,11.9,1209,-1013,1776715,1,"c","centre"
"329","1",117,233.2,134.6,714,237,1777470,2,"2","target"
"330","1",118,6.89999999999998,2.89999999999998,1195,-1014,1782034,1,"c","centre"
"331","1",118,217.7,154.3,159,220,1782232,2,"2","target"
"332","1",118,229.5,138.4,589,386,1782828,3,"2","target"
"333","1",119,12.7,1,57,-57,1786097,1,"c","centre"
"334","1",119,13.3,15.9,1127,18,1787242,2,"c","centre"
"335","1",119,230.9,126.9,724,1187,1788008,3,"2","target"
"336","1",120,20.4,4.89999999999998,1190,-1012,1792249,1,"c","centre"
"337","1",120,10,259.6,748,216,1793035,2,"3","target"
"338","1",121,18.5,-0.5,62,-62,1796341,1,"c","centre"
"339","1",121,16.8,8.39999999999998,1119,10,1797470,2,"c","centre"
"340","1",121,95.3,201.1,616,1169,1798126,3,"d2","distracter"
"341","1",122,16.7,10.8,1206,-1014,1803981,1,"c","centre"
"342","1",122,254.2,-118.1,714,233,1804736,2,"1","target"
"343","1",123,5.5,7.70000000000005,1195,-1020,1808847,1,"c","centre"
"344","1",123,6.79999999999995,-262.7,709,227,1809608,2,"6","target"
"345","1",124,14,10.4,1228,-1021,1813730,1,"c","centre"
"346","1",124,235.8,124.2,168,243,1813934,2,"2","target"
"347","1",124,222.6,135.9,561,422,1814506,3,"2","target"
"348","1",125,17.8,9.60000000000002,1187,-1013,1818798,1,"c","centre"
"349","1",125,-211.7,137.8,751,213,1819588,2,"4","target"
"350","1",126,36.1,9,593,-593,1823820,1,"c","centre"
"351","1",126,28.4,21.8,571,9,1824400,2,"c","centre"
"352","1",126,239.3,132.2,771,623,1825214,3,"2","target"
"353","1",127,14,3.60000000000002,1202,-1014,1829445,1,"c","centre"
"354","1",127,165.1,-196.4,112,225,1829594,2,"d6","distracter"
"355","1",127,228.3,-116.8,583,362,1830202,3,"1","target"
"356","1",128,24.8,-0.799999999999955,1215,-1014,1834926,1,"c","centre"
"357","1",128,-117.7,-238.2,252,246,1835223,2,"d5","distracter"
"358","1",128,-65.2,-220.7,156,516,1835397,3,"d5","distracter"
"359","1",128,-0.299999999999955,282.2,251,729,1835705,4,"3","target"
"360","1",129,24.3,4.89999999999998,1208,-1014,1840286,1,"c","centre"
"361","1",129,120.4,-218.4,755,235,1841082,2,"d6","distracter"
"362","1",130,12.2,11.7,236,-236,1847106,1,"c","centre"
"363","1",130,19.7,23.5,960,13,1848079,2,"c","centre"
