observer,trial,x,y,dur,onset,offset,n
1,77,1190.8,686,482,756,1485494,4
1,78,978.6,551.3,1204,-1014,1490164,1
1,78,1003.4,774.3,123,226,1490323,2
1,78,980,790.8,607,359,1490940,3
1,79,972.9,539.3,1184,-1016,1495142,1
1,79,756.8,673,125,241,1495340,2
1,79,745.9,659.6,560,376,1495910,3
1,80,977,551.3,1204,-1020,1500759,1
1,80,736.5,664.3,139,224,1500938,2
1,80,749,666,496,383,1501454,3
1,81,972.4,557.3,307,-307,1504952,1
1,81,973.4,547,879,7,1505838,2
1,81,749,573.6,66,927,1505945,3
1,81,771,658.2,645,1017,1506614,4
1,82,977.2,552.5,1199,-1014,1511228,1
1,82,1153.9,663.6,125,221,1511389,2
1,82,1174.9,678.9,578,365,1511986,3
1,83,965.8,560.5,178,-178,1515591,1
1,83,980.2,542.8,1017,17,1516625,2
1,83,905.8,315.7,113,1075,1516779,3
1,83,964.2,290.9,568,1213,1517372,4
1,84,971.8,554.8,1203,-1013,1522150,1
1,84,762.6,643.1,117,230,1522307,2
1,84,744.3,678.7,597,363,1522920,3
1,85,976.9,551.5,1239,-1013,1527820,1
1,85,1216.3,551.5,89,266,1527949,2
1,85,947,284.9,145,400,1528139,3
1,85,970.7,297.3,455,555,1528604,4
1,86,969.7,547.2,1189,-1020,1532780,1
1,86,1231.7,558.8,459,211,1533281,2
1,86,963.8,305.7,162,714,1533487,3
1,87,960.3,546.6,1220,-1014,1537618,1
1,87,755.7,617.2,22,256,1537690,2
1,87,743.6,405.5,569,317,1538298,3
1,87,727.4,497.2,29,914,1538355,4
1,88,965.6,543.2,1194,-1013,1542577,1
1,89,971.7,555.1,1214,-1014,1548163,1
1,89,741.5,425.5,707,241,1548911,2
1,90,969.9,549.9,1213,-1017,1554493,1
1,90,1173.2,434.7,716,234,1555247,2
1,91,967.2,555,1196,-1014,1559629,1
1,91,974.6,791.6,564,222,1560233,2
1,92,970.3,554.3,1209,-1013,1564944,1
1,92,1194.7,425.7,715,236,1565699,2
1,93,962,551.8,298,-298,1568926,1
1,93,960.4,550.1,893,9,1569828,2
1,93,958.2,795.9,575,940,1570441,3
1,94,965.2,558.3,1197,-1020,1574559,1
1,94,837.9,405.9,78,213,1574673,2
1,94,756.4,430.2,609,318,1575309,3
1,95,956.7,559.3,358,-358,1578528,1
1,95,957.4,546.3,827,12,1579367,2
1,95,773.3,435.5,112,903,1579543,3
1,95,746.3,425.4,499,1030,1580057,4
1,95,758.7,530.8,33,1553,1580114,5
1,96,958.9,551.6,1205,-1008,1584447,1
1,96,1149.4,435.8,118,236,1584604,2
1,96,1164.2,430.6,510,376,1585136,3
1,97,965.6,544.9,323,-323,1588692,1
1,97,967.7,531.2,861,10,1589563,2
1,97,1126.6,716,106,921,1589719,3
1,97,1171.6,669.2,593,1051,1590336,4
1,98,970.7,555.2,301,-301,1593463,1
1,98,964.4,507.9,218,20,1593701,2
1,98,966.5,539,658,249,1594370,3
1,98,970.7,300,589,949,1595001,4
1,98,860.1,588.9,40,1598,1595101,5
1,99,968.8,553.6,289,-289,1598360,1
1,99,979.5,531.3,870,19,1599249,2
1,99,1125.4,372,110,928,1599398,3
1,99,1176.1,425.2,619,1061,1600040,4
1,100,960.3,559.9,235,-235,1603418,1
1,100,1128.9,478.9,126,24,1603568,2
1,100,967.6,541.4,770,181,1604369,3
1,100,717.2,549.3,115,999,1604532,4
1,100,1193,666.6,565,1182,1605165,5
1,101,967.2,551.2,1210,-1022,1609124,1
1,101,1170.3,669.6,118,235,1609289,2
1,101,1197.2,674.1,575,374,1609885,3
1,102,968,550.1,1200,-1013,1614523,1
1,102,1121.8,661.5,57,224,1614617,2
1,102,1192.6,663.5,628,317,1615281,3
