observer,trial,x,y,dur,n
98,131,948.1,549.1,426,1
98,131,955.8,551.8,94,2
98,131,942.5,559.8,540,3
98,131,967.3,321.9,294,4
98,132,945.3,548.7,1272,1
98,132,1156,436.2,274,2
98,133,948.5,551.9,1262,1
98,133,760.2,487.3,352,2
98,134,947.2,555,1224,1
98,134,1167.6,452.2,408,2
98,134,1020.2,598.4,452,3
98,135,947.9,555.2,1242,1
98,135,972.3,822.1,398,2
98,136,943.8,560.5,1250,1
98,136,974,345.6,178,2
98,137,946.6,552.3,1246,1
98,137,738.4,672.4,824,2
98,138,946.6,548.6,1266,1
98,138,1179.2,666,484,2
98,139,950.4,548.4,1226,1
98,139,962.7,806.4,296,2
98,139,939.7,507.5,248,3
98,140,945.2,550.5,1202,1
98,140,718.1,662.4,378,2
98,141,943,554.2,1258,1
98,141,1187.1,454,476,2
98,142,944.2,547.9,1226,1
98,142,974.5,806.8,266,2
98,142,928,790,106,3
98,143,945.9,553.9,1248,1
98,143,1188.3,687.1,304,2
98,144,947.2,553.2,1218,1
98,144,960.5,800.2,356,2
98,145,945.3,550.8,1248,1
98,145,955.9,783.3,280,2
98,145,1007.7,520.5,284,3
98,146,948.2,553.1,1240,1
98,146,946.8,814.8,314,2
98,147,950.5,549.8,1248,1
98,147,963.7,314.7,336,2
98,147,995.1,510.3,246,3
98,148,946.9,554.6,1204,1
98,148,967.2,823.2,344,2
98,148,1004.8,512.3,168,3
98,149,947.1,547.7,1236,1
98,149,968.5,364.5,298,2
98,149,997.9,506.6,232,3
98,150,950.9,546.1,280,1
98,150,941.4,551,976,2
98,150,729.3,675.5,432,3
98,150,1078,545.9,156,4
98,151,958.4,535.9,1248,1
98,151,977.1,285.8,346,2
98,152,955.3,531,1204,1
98,152,960,300.8,360,2
98,153,952.9,533.8,1198,1
98,153,718.9,661.7,510,2
98,154,958.3,538.5,1220,1
98,154,1089.4,745.8,78,2
98,154,757.8,429.8,624,3
98,155,953.5,543.3,1216,1
98,155,960.8,318.6,314,2
98,156,948.8,537.6,286,1
98,156,955,542.1,886,2
98,156,878.9,343.5,76,3
98,156,1195.3,458.6,864,4
98,157,951.1,537.6,1230,1
98,157,879.2,342,112,2
98,157,947.5,315,666,3
98,157,1043.2,453.5,60,4
98,158,953,543.9,1192,1
98,158,1194.7,674,544,2
98,159,951.3,544,1218,1
98,159,732.3,440.3,316,2
98,160,948,539.1,1250,1
98,160,750.3,651.2,530,2
98,161,950.6,544.8,1206,1
98,161,723.8,655.4,310,2
98,162,947.6,552.6,388,1
98,162,943.5,549.6,836,2
98,162,1198,469.8,568,3
98,163,949.6,546.5,1198,1
98,163,1177.2,436.7,354,2
98,164,949.7,543.2,1202,1
98,164,959.3,779.1,294,2
98,165,950.8,545.8,1216,1
98,165,1182.9,673.2,770,2
