observer,trial,x,y,dur,onset,n
1,98,980.5,559.8,1218,0,1
1,98,1160.4,470.1,178,218,2
1,99,968.9,547.9,1274,0,1
1,100,978.1,544.1,1224,0,1
1,100,1173.4,451.9,250,290,2
1,101,960.3,524.9,890,0,1
1,102,966.6,531.7,1270,0,1
1,103,951.4,542.4,472,0,1
1,103,960.1,545.9,612,794,2
1,103,964.2,342.7,194,1028,3
1,104,967.4,534.1,1266,0,1
1,104,963.2,352.5,152,190,2
1,105,967,537.9,1276,0,1
1,105,782.4,483.7,140,176,2
1,105,750.9,443.2,198,388,3
1,106,971.6,548.8,1200,0,1
1,106,970.9,391.2,148,186,2
1,107,968.3,545.2,1412,0,1
1,107,968.9,770.4,254,302,2
1,108,982.2,556.8,398,0,1
1,108,981.8,541.7,668,856,2
1,108,1163.3,507.8,292,1184,3
1,109,961.5,540.6,1116,0,1
1,109,826.1,739,126,178,2
1,110,965.5,536.7,1388,0,1
1,110,1178.5,646.7,240,276,2
1,111,972.4,548,1270,0,1
1,111,1184.5,647,234,268,2
1,112,974.6,544,1202,0,1
1,112,967.4,353.2,160,200,2
1,113,972.8,543.4,476,0,1
1,113,972.6,544.9,616,772,2
1,113,1193.4,646.2,368,1178,3
1,114,972.8,543.7,1130,0,1
1,114,1214.1,562.8,156,190,2
1,115,974.2,563.1,1254,0,1
1,115,1074.7,438.1,190,228,2
1,116,968.7,556.2,258,0,1
1,116,971.3,554.4,914,1084,2
1,116,1176.4,474.3,186,1308,3
1,117,979.5,545,230,0,1
1,117,978.3,538.4,450,638,2
1,117,999.2,427.9,332,992,3
1,118,982.5,533.1,302,0,1
1,118,976.4,547.6,802,998,2
1,118,776.5,517.6,136,1166,3
1,119,973.7,550.6,1212,0,1
1,119,1176.3,476.9,162,200,2
1,120,974.3,552.9,1152,0,1
1,120,1142.7,478.2,170,208,2
1,121,976.8,541.8,1296,0,1
1,121,989.5,779,246,296,2
1,122,976.8,549.6,1356,0,1
1,123,988.7,566.5,62,0,1
1,123,983.2,552.1,272,280,2
1,123,983.2,536.7,706,1192,3
1,123,1220,553.3,152,1378,4
1,124,977.3,534.4,1076,0,1
1,124,972,516.4,82,270,2
1,125,967.2,527.8,254,0,1
1,125,1090.3,501.2,314,338,2
1,125,1028.6,512.8,632,986,3
1,125,982.4,371.2,144,1168,4
1,126,981,540.3,510,0,1
1,126,972.5,530.9,578,764,2
1,126,808.1,461.8,140,940,3
1,127,979.5,532.8,1254,0,1
1,127,766.7,623.9,166,206,2
1,128,982.2,543.1,1220,0,1
1,128,892.8,405.8,144,174,2
1,129,971.7,543.1,1236,0,1
1,129,761.6,455.1,204,242,2
1,130,974,539.7,1242,0,1
1,130,1063.8,383.7,180,222,2
1,131,979.8,546.4,1306,0,1
1,131,774.2,449.5,168,208,2
1,132,975.8,537.6,1302,0,1
1,133,972.5,540.4,1384,0,1
1,134,976.1,540.2,1326,0,1
1,134,992.3,740.1,138,176,2
1,135,976.2,538.9,1418,0,1
1,135,981,705.2,114,160,2
1,136,975.4,547.4,1356,0,1
1,136,1186.9,622.7,136,172,2
1,137,979.8,553.5,1336,0,1
1,137,984.2,782.8,206,260,2
1,138,980.6,539.1,1308,0,1
1,138,1212.2,543.9,134,170,2
1,138,992.9,324.7,212,430,3
1,139,979.8,545.3,1252,0,1
1,139,779.5,595.7,166,204,2
1,140,979.8,530.9,1286,0,1
1,140,1178.3,511,156,194,2
1,140,1188.3,455.7,306,518,3
1,141,980,548.5,1274,0,1
1,141,1162.3,463.7,164,204,2
1,142,976.6,543.4,1330,0,1
1,142,1192.9,661.3,282,318,2
1,143,980.4,551,1192,0,1
1,143,776.3,627.7,162,200,2
1,144,982,554.3,1304,0,1
1,144,996.4,747.6,136,174,2
1,145,982.2,543,1290,0,1
1,145,980.6,373.9,136,174,2
1,146,979.5,542.9,422,0,1
1,146,983,531.1,624,824,2
1,146,912.2,404.6,120,984,3
1,147,981,539.9,1248,0,1
1,147,974.3,335.6,164,208,2
1,148,987.3,533.3,1396,0,1
1,149,977.3,553.5,474,0,1
1,149,978.8,560,700,840,2
1,149,1059.7,440.7,158,1034,3
1,149,970.9,799.9,758,1838,4
1,150,984,548.2,1212,0,1
1,150,1005.3,764.9,176,228,2
1,151,959.4,527.9,1200,0,1
1,151,977.4,349.5,138,178,2
1,151,969.4,298.7,554,748,3
1,152,984.6,540.3,1296,0,1
1,152,995.4,692.7,164,196,2
1,153,987.7,536.8,1290,0,1
1,153,816.3,460.3,146,182,2
1,154,980.9,537.7,440,0,1
1,154,986.7,533.6,568,798,2
1,154,990.1,348.3,202,1040,3
1,155,982.7,546.1,1298,0,1
1,155,770.9,460.1,156,196,2
1,156,974,537.3,344,0,1
1,156,984.5,540.8,632,844,2
1,156,733.8,545.6,130,1014,3
