"observer","thought","captured","congC","distracter","medianRT","nTrials"
15,"captured","fixatedDistracter","congruent",1,0.849512,14
15,"captured","fixatedDistracter","incongruent",1,0.871815,16
15,"captured","none","congruent",1,1.145056,3
15,"captured","none","incongruent",1,0.7421,5
15,"captured","none","no distracter",0,1.451605,1
15,"captured","tooLong","incongruent",1,0.754489,2
15,"direct","direct","congruent",1,0.922015,33
15,"direct","direct","incongruent",1,0.83491,23
15,"direct","direct","no distracter",0,0.727079,86
15,"direct","fixatedDistracter","congruent",1,0.769726,19
15,"direct","fixatedDistracter","incongruent",1,0.806826,30
15,"direct","none","congruent",1,0.848524,29
15,"direct","none","incongruent",1,0.875783,24
15,"direct","none","no distracter",0,0.681957,119
15,"direct","tooLong","congruent",1,0.879348,5
15,"direct","tooLong","incongruent",1,0.783143,5
15,"direct","tooLong","no distracter",0,0.940601,3
16,"direct","direct","congruent",1,0.595774,33
16,"direct","direct","incongruent",1,0.629983,25
16,"direct","direct","no distracter",0,0.537702,98
16,"direct","fixatedDistracter","congruent",1,0.629166,55
16,"direct","fixatedDistracter","incongruent",1,0.684866,46
16,"direct","none","congruent",1,0.589234,28
16,"direct","none","incongruent",1,0.597847,30
16,"direct","none","no distracter",0,0.530496,105
16,"direct","tooLong","congruent",1,0.573215,28
16,"direct","tooLong","incongruent",1,0.636843,32
16,"direct","tooLong","no distracter",0,0.535607,67
17,"captured","direct","congruent",1,0.888943,13
17,"captured","direct","incongruent",1,1.053925,17
17,"captured","direct","no distracter",0,0.743697,7
17,"captured","fixatedDistracter","congruent",1,0.974671,40
17,"captured","fixatedDistracter","incongruent",1,1.003754,25
17,"captured","none","congruent",1,0.7986655,4
17,"captured","none","no distracter",0,0.64802,4
17,"captured","tooLong","congruent",1,0.617443,1
17,"captured","tooLong","incongruent",1,0.835519,5
17,"direct","direct","congruent",1,0.761034,18
17,"direct","direct","incongruent",1,0.757343,23
17,"direct","direct","no distracter",0,0.740547,107
17,"direct","fixatedDistracter","congruent",1,0.729473,25
17,"direct","fixatedDistracter","incongruent",1,0.713704,14
17,"direct","none","congruent",1,0.586624,8
17,"direct","none","incongruent",1,0.639668,10
17,"direct","none","no distracter",0,0.622016,42
17,"direct","tooLong","congruent",1,0.754434,1
17,"direct","tooLong","incongruent",1,0.884158,6
17,"direct","tooLong","no distracter",0,0.872493,13
18,"captured","direct","congruent",1,1.366726,1
18,"captured","direct","incongruent",1,1.142469,1
18,"captured","fixatedDistracter","congruent",1,1.116802,23
18,"captured","fixatedDistracter","incongruent",1,1.006244,21
18,"captured","none","congruent",1,0.932662,1
18,"captured","none","incongruent",1,0.979479,1
18,"captured","tooLong","congruent",1,1.1046515,2
18,"captured","tooLong","incongruent",1,0.9991125,4
18,"direct","direct","congruent",1,0.9280505,24
18,"direct","direct","incongruent",1,0.9357975,26
18,"direct","direct","no distracter",0,0.876057,71
18,"direct","fixatedDistracter","congruent",1,0.926055,35
18,"direct","fixatedDistracter","incongruent",1,0.8775425,22
18,"direct","none","congruent",1,0.894313,13
18,"direct","none","incongruent",1,0.945757,15
18,"direct","none","no distracter",0,0.847457,52
18,"direct","tooLong","congruent",1,1.039221,6
18,"direct","tooLong","incongruent",1,0.970897,10
18,"direct","tooLong","no distracter",0,0.922719,14
19,"captured","direct","incongruent",1,0.659646,1
19,"captured","direct","no distracter",0,0.6827365,2
19,"captured","fixatedDistracter","congruent",1,0.6721645,26
19,"captured","fixatedDistracter","incongruent",1,0.6654095,20
19,"captured","none","congruent",1,0.6021905,28
19,"captured","none","incongruent",1,0.6300205,14
19,"captured","none","no distracter",0,0.566674,1
19,"direct","direct","congruent",1,0.585782,7
19,"direct","direct","incongruent",1,0.6312185,10
19,"direct","direct","no distracter",0,0.58609,118
19,"direct","fixatedDistracter","congruent",1,0.618687,29
19,"direct","fixatedDistracter","incongruent",1,0.612144,18
19,"direct","none","congruent",1,0.60637,13
19,"direct","none","incongruent",1,0.6638745,16
19,"direct","none","no distracter",0,0.586882,109
19,"direct","tooLong","congruent",1,0.652126,3
19,"direct","tooLong","incongruent",1,0.726418,6
19,"direct","tooLong","no distracter",0,0.692751,14
20,"captured","fixatedDistracter","congruent",1,1.103078,4
20,"captured","fixatedDistracter","incongruent",1,1.056166,6
20,"direct","direct","congruent",1,0.788586,17
20,"direct","direct","incongruent",1,0.790555,19
20,"direct","direct","no distracter",0,0.644929,75
20,"direct","fixatedDistracter","congruent",1,0.7523135,60
20,"direct","fixatedDistracter","incongruent",1,0.8449625,62
20,"direct","none","congruent",1,0.623378,38
20,"direct","none","incongruent",1,0.7730455,32
20,"direct","none","no distracter",0,0.590165,92
20,"direct","tooLong","congruent",1,0.696318,9
20,"direct","tooLong","incongruent",1,0.984136,5
20,"direct","tooLong","no distracter",0,0.6784025,16
21,"captured","direct","congruent",1,0.7096965,4
21,"captured","direct","incongruent",1,0.74837,5
21,"captured","fixatedDistracter","congruent",1,1.0423095,10
21,"captured","fixatedDistracter","incongruent",1,1.218699,11
21,"captured","none","congruent",1,0.855123,5
21,"captured","none","incongruent",1,0.745898,1
21,"captured","tooLong","congruent",1,0.683359,1
21,"captured","tooLong","incongruent",1,1.1477585,2
21,"direct","direct","congruent",1,0.5738585,40
21,"direct","direct","incongruent",1,0.604068,44
21,"direct","direct","no distracter",0,0.602859,97
21,"direct","fixatedDistracter","congruent",1,0.637676,22
21,"direct","fixatedDistracter","incongruent",1,0.6121155,18
21,"direct","none","congruent",1,0.5415645,30
21,"direct","none","incongruent",1,0.577994,31
21,"direct","none","no distracter",0,0.5315505,96
21,"direct","tooLong","congruent",1,0.563183,5
21,"direct","tooLong","incongruent",1,0.694208,5
21,"direct","tooLong","no distracter",0,0.553269,9
