"observer","trial","x","y","dur","onset","n","aoi","aoi2"
"5",4,229.4,-131.5,264,1316,6,"1","centre"
"5",4,246.8,-34.9,218,1634,7,"d1","centre"
"5",4,165.3,-64.3,148,1802,8,"1","centre"
"5",5,20.4,0.399999999999977,374,0,1,"c","centre"
"5",5,62.2,1.70000000000005,164,272,2,"c","centre"
"5",5,19.4,0.899999999999977,422,706,3,"c","centre"
"5",5,60.6,10.2,246,968,4,"c","centre"
"5",5,147,-200.1,146,1152,5,"d6","distracter"
"5",5,-171.9,108.1,148,1352,6,"4","target"
"5",6,-6,-11.9,78,0,1,"c","centre"
"5",6,21.6,0.700000000000045,1178,1188,2,"c","centre"
"5",6,-184,43,188,1410,3,"d4","distracter"
"5",7,12.3,8.79999999999995,358,0,1,"c","centre"
"5",7,59.4,65.8,216,238,2,"c","centre"
"5",7,23.3,22.6,662,916,3,"c","centre"
"5",7,-173.1,-52.8,156,1106,4,"5","target"
"5",7,-209.2,-78.2,230,1352,5,"5","target"
"5",8,17.4,6.20000000000005,348,0,1,"c","centre"
"5",8,20.3,1.39999999999998,838,932,2,"c","centre"
"5",8,164.2,68.8,140,1102,3,"2","target"
"5",9,18.5,-4.20000000000005,312,0,1,"c","centre"
"5",9,17.4,12.7,184,298,2,"c","centre"
"5",9,52.8,102.1,170,492,3,"0","blank"
"5",9,10.4,17.2,450,964,4,"c","centre"
"5",9,-175.6,91.8,188,1178,5,"4","target"
"5",9,-215,126.2,172,1364,6,"4","target"
"5",9,-250.9,48.4,234,1620,7,"d4","distracter"
"5",10,15.2,4.20000000000005,340,0,1,"c","centre"
"5",10,118.4,43.2,144,252,2,"0","blank"
"5",10,26.9,10.3,616,886,3,"c","centre"
"5",10,189.8,91.3,424,1338,4,"2","target"
"5",10,-209.2,-71.9,194,1584,5,"5","blank"
"5",11,15.8,10.9,332,0,1,"c","centre"
"5",11,31.1,-1.5,196,206,2,"c","centre"
"5",11,11.8,3,680,896,3,"c","centre"
