"observer","trial","x","y","dur","onset","n","aoi"
"1",80,-244.9,-119.9,296,2966,6,"c"
"1",80,-368,-1582.3,80,3250,7,"c"
"1",80,-203.5,-663.5,23,3823,8,"c"
"1",80,-233.7,-387.4,94,3990,9,"c"
"1",80,-285.5,-1342,136,4190,10,"c"
"1",80,-266.8,-1302,164,4372,11,"c"
"1",81,-15.1,-10.2,1216,0,1,"c"
"1",81,207.4,-19.9,213,251,2,"c"
"1",81,236,-13,158,421,3,"c"
"1",81,216.3,-104.3,649,1096,4,"c"
"1",81,-255.8,-1508.3,194,1411,5,"c"
"1",82,-15.9,-10.7,1310,0,1,"c"
"1",82,-11.5,-228.5,1194,1234,2,"c"
"1",82,3.70000000000005,-243.7,446,1690,3,"c"
"1",82,-273.9,-1471.8,137,1932,4,"c"
"1",83,-17.9,-9.20000000000005,1269,0,1,"c"
"1",83,193.7,-110.1,895,942,2,"c"
"1",84,-13,-8.39999999999998,1278,0,1,"c"
"1",84,-8.89999999999998,-240.1,685,735,2,"c"
"1",85,-18.8,-8.5,1228,0,1,"c"
"1",85,-139.9,61.5,99,130,2,"c"
"1",85,-217.7,116,182,336,3,"c"
"1",85,-245.4,133.3,337,685,4,"c"
"1",86,-17,-12.2,1225,0,1,"c"
"1",86,-110.2,-218.4,94,144,2,"c"
"1",86,-17.8,-232.5,879,1046,3,"c"
"1",86,-248.1,-1443.4,120,1368,4,"c"
"1",87,-16.3,-15.2,1198,0,1,"c"
"1",87,-192.2,89.5,136,176,2,"c"
"1",87,-230.3,127.2,451,646,3,"c"
"1",88,-16.5,-5.5,320,0,1,"c"
"1",88,-12.2,-16,694,882,2,"c"
"1",88,220.7,-130.8,577,1506,3,"c"
"1",89,-14.6,-11.5,1188,0,1,"c"
"1",89,93.5,199.5,139,190,2,"c"
"1",89,176.4,118.4,162,381,3,"c"
"1",89,202.9,118.7,468,859,4,"c"
"1",89,-332.4,-1572.7,242,1382,5,"c"
"1",89,-291.5,-1559.8,185,1580,6,"c"
"1",90,-17.3,-14.9,1240,0,1,"c"
"1",90,219.6,-125.6,477,526,2,"c"
"1",90,-326.6,-1584,33,666,3,"c"
"1",91,-19.1,-13.5,1268,0,1,"c"
"1",91,-8.70000000000005,-236.2,504,555,2,"c"
"1",92,-15.9,-8.20000000000005,1204,0,1,"c"
"1",92,-207.1,23.6,91,142,2,"c"
"1",92,-224.9,127.1,645,816,3,"c"
"1",92,-248.1,-1432.8,193,1210,4,"c"
"1",93,-13.4,-13.2,1215,0,1,"c"
"1",93,180.5,87.5,143,185,2,"c"
"1",93,195.8,116.6,330,528,3,"c"
"1",93,-277.8,-1418.2,137,826,4,"c"
"1",94,-13.8,-15.3,1202,0,1,"c"
"1",94,97.8,171.1,215,255,2,"c"
"1",94,-209.8,-150.9,112,430,3,"c"
"1",94,-236.9,-139.6,263,703,4,"c"
"1",94,-292,-1501.6,478,1339,5,"c"
"1",94,-275.6,-1372.2,204,2053,6,"c"
"1",95,-23.7,-4.89999999999998,1225,0,1,"c"
"1",95,217.2,-121.2,479,530,2,"c"
"1",96,-13.4,-8.79999999999995,1193,0,1,"c"
"1",96,-86.7,184.5,106,157,2,"c"
"1",96,-20.3,242.1,150,333,3,"c"
"1",96,-13.7,266.9,816,1161,4,"c"
"1",97,-15.2,-13.1,1201,0,1,"c"
"1",97,-185.9,93.7,114,154,2,"c"
"1",97,-227.7,129.1,237,411,3,"c"
"1",98,-13,-6.29999999999995,1267,0,1,"c"
"1",98,186.4,97.1,231,281,2,"c"
"1",98,203.4,119,259,552,3,"c"
"1",99,-13.4,-11.6,1191,0,1,"c"
"1",99,150.3,75.6,120,160,2,"c"
"1",99,198.6,115.4,498,679,3,"c"
"1",99,-251.9,-1396.3,152,992,4,"c"
"1",100,-17.2,-14.1,1288,0,1,"c"
"1",100,182.7,106,382,423,2,"c"
"1",101,-16.3,3.39999999999998,1201,0,1,"c"
"1",101,176.7,84.9,137,175,2,"c"
"1",101,193.5,108.1,363,551,3,"c"
"1",101,-249.1,-1406.9,131,802,4,"c"
"1",101,-271.3,-1463.1,479,1298,5,"c"
"1",102,-5.60000000000002,0.100000000000023,1220,0,1,"c"
"1",102,217.6,-108.4,371,421,2,"c"
"1",103,-4,-5.60000000000002,1209,0,1,"c"
"1",103,11.7,182.2,48,97,2,"c"
"1",103,5.70000000000005,252.7,306,429,3,"c"
"1",104,-2,-1.79999999999995,1193,0,1,"c"
"1",104,13.7,226.7,63,115,2,"c"
"1",104,10.2,259.1,297,436,3,"c"
"1",105,-8.20000000000005,-13,1198,0,1,"c"
"1",105,-172.4,61.4,136,174,2,"c"
"1",105,-221.5,120.1,310,504,3,"c"
"1",106,-6.70000000000005,-9.89999999999998,1213,0,1,"c"
"1",106,6.10000000000002,178.4,32,85,2,"c"
"1",106,2.89999999999998,269.8,285,406,3,"c"
"1",107,-11.5,-7.29999999999995,1235,0,1,"c"
"1",107,-6.10000000000002,-278.3,104,156,2,"c"
"1",107,-12.1,-267.4,122,287,3,"c"
"1",107,0.299999999999955,-233.8,186,489,4,"c"
"1",108,-11,-12.4,1250,0,1,"c"
"1",108,157.6,85.8,113,151,2,"c"
"1",108,193.7,117.3,217,386,3,"c"
"1",109,-11,-6.79999999999995,1217,0,1,"c"
"1",109,-44,-228.5,104,159,2,"c"
"1",109,-11.7,-243.9,369,549,3,"c"
"1",109,-0.700000000000045,-243.3,284,841,4,"c"
"1",110,-10.5,-7.5,1211,0,1,"c"
"1",110,205,-117.3,359,409,2,"c"
"1",111,-9.39999999999998,-7.29999999999995,1225,0,1,"c"
"1",111,163.6,-131,116,158,2,"c"
"1",111,214,-115.2,457,635,3,"c"
"1",112,-13,-5.70000000000005,1206,0,1,"c"
"1",112,7.29999999999995,252,161,214,2,"c"
"1",112,-8.20000000000005,265,290,515,3,"c"
"1",113,-16.3,-8.39999999999998,1220,0,1,"c"
"1",113,201.7,-125.2,341,387,2,"c"
"1",114,-14.7,-6.79999999999995,1211,0,1,"c"
"1",114,218.5,-33.9,105,152,2,"c"
"1",114,212.9,-122.6,544,722,3,"c"
"1",115,-13.6,-9.70000000000005,1212,0,1,"c"
"1",115,87.7,195.8,93,144,2,"c"
"1",115,173.9,97.3,129,303,3,"c"
"1",115,194.7,112.2,154,465,4,"c"
"1",115,211.9,120.1,256,729,5,"c"
"1",115,-255.2,-1457.3,188,1101,6,"c"
"1",115,-249.8,-1468.7,244,1854,7,"c"
"1",116,-10.2,-11.9,1221,0,1,"c"
"1",116,149.2,60.8,98,131,2,"c"
"1",116,192.7,103.4,299,452,3,"c"
"1",117,-10,-4.39999999999998,1247,0,1,"c"
"1",117,5.39999999999998,173.4,35,88,2,"c"
"1",117,-0.100000000000023,259.1,224,341,3,"c"
