"observer","captured","thought","congC","medianRT","nTrials"
12,"fixatedDistracter","captured","incongruent",2.5892725,6
12,"fixatedDistracter","captured","congruent",1.803946,3
12,"fixatedDistracter","direct","incongruent",1.642658,37
12,"fixatedDistracter","direct","congruent",1.574425,37
12,"none","direct","incongruent",1.132279,55
12,"none","direct","congruent",1.2621455,52
12,"tooLong","captured","congruent",2.730033,1
12,"tooLong","direct","incongruent",1.670438,5
12,"tooLong","direct","congruent",1.510217,10
13,"direct","captured","incongruent",1.585434,1
13,"direct","captured","congruent",2.332224,2
13,"direct","direct","incongruent",1.682637,5
13,"direct","direct","congruent",1.683356,5
13,"fixatedDistracter","captured","incongruent",1.701652,104
13,"fixatedDistracter","captured","congruent",1.793388,103
13,"fixatedDistracter","direct","incongruent",1.85405,17
13,"fixatedDistracter","direct","congruent",1.675713,18
13,"none","captured","incongruent",1.822508,2
13,"none","direct","incongruent",1.142846,1
13,"none","direct","congruent",1.7176475,2
13,"tooLong","captured","incongruent",2.122199,5
13,"tooLong","captured","congruent",2.339676,5
13,"tooLong","direct","incongruent",1.756321,5
13,"tooLong","direct","congruent",2.297006,3
14,"direct","captured","congruent",2.28851,1
14,"direct","direct","incongruent",1.552561,31
14,"direct","direct","congruent",1.3119825,32
14,"fixatedDistracter","captured","incongruent",2.12539,5
14,"fixatedDistracter","captured","congruent",3.033275,9
14,"fixatedDistracter","direct","incongruent",1.7126265,18
14,"fixatedDistracter","direct","congruent",1.817706,12
14,"none","direct","incongruent",1.400309,9
14,"none","direct","congruent",1.6817895,4
14,"tooLong","captured","incongruent",2.6546155,2
14,"tooLong","captured","congruent",1.956923,3
14,"tooLong","direct","incongruent",2.347882,28
14,"tooLong","direct","congruent",1.967873,35
15,"direct","captured","incongruent",0.961534,7
15,"direct","captured","congruent",1.063343,7
15,"direct","direct","incongruent",1.1461175,6
15,"direct","direct","congruent",1.0693615,2
15,"fixatedDistracter","captured","incongruent",1.107156,88
15,"fixatedDistracter","captured","congruent",1.17779,80
15,"fixatedDistracter","direct","incongruent",0.9775355,22
15,"fixatedDistracter","direct","congruent",1.076615,25
15,"none","captured","incongruent",1.077323,6
15,"none","captured","congruent",1.2643435,4
15,"none","direct","incongruent",1.013002,11
15,"none","direct","congruent",0.909065,13
15,"tooLong","captured","incongruent",0.916962,3
15,"tooLong","captured","congruent",1.1036055,2
15,"tooLong","direct","incongruent",0.64081,1
18,"direct","captured","incongruent",1.412714,5
18,"direct","captured","congruent",1.286182,4
18,"direct","direct","incongruent",1.5088485,30
18,"direct","direct","congruent",1.422153,24
18,"fixatedDistracter","captured","incongruent",1.50165,43
18,"fixatedDistracter","captured","congruent",1.468789,47
18,"fixatedDistracter","direct","incongruent",1.481346,16
18,"fixatedDistracter","direct","congruent",1.025891,9
18,"none","captured","incongruent",1.36224,6
18,"none","captured","congruent",1.099811,1
18,"none","direct","incongruent",1.24587,29
18,"none","direct","congruent",1.320242,33
18,"tooLong","captured","incongruent",1.2438685,4
18,"tooLong","captured","congruent",1.502236,4
18,"tooLong","direct","incongruent",1.202271,5
18,"tooLong","direct","congruent",1.41544,15
19,"direct","captured","incongruent",1.4337145,20
19,"direct","captured","congruent",1.492595,21
19,"direct","direct","incongruent",1.377282,10
19,"direct","direct","congruent",1.3984105,12
19,"fixatedDistracter","captured","incongruent",1.754996,69
19,"fixatedDistracter","captured","congruent",1.6954095,60
19,"fixatedDistracter","direct","incongruent",1.226851,5
19,"fixatedDistracter","direct","congruent",1.3381985,6
19,"none","captured","incongruent",1.266641,13
19,"none","captured","congruent",1.442098,13
19,"none","direct","incongruent",1.447753,13
19,"none","direct","congruent",1.1626765,12
19,"tooLong","captured","incongruent",1.425725,4
19,"tooLong","captured","congruent",1.539465,11
19,"tooLong","direct","incongruent",1.124148,2
19,"tooLong","direct","congruent",1.2271645,2
22,"direct","captured","incongruent",1.5967315,2
22,"direct","captured","congruent",1.7447995,2
22,"direct","direct","incongruent",1.0319975,44
22,"direct","direct","congruent",1.002182,43
22,"fixatedDistracter","captured","incongruent",1.929575,11
22,"fixatedDistracter","captured","congruent",1.6349315,12
22,"fixatedDistracter","direct","incongruent",1.205562,7
22,"fixatedDistracter","direct","congruent",1.010777,9
22,"none","captured","incongruent",2.269889,2
22,"none","captured","congruent",1.469766,3
22,"none","direct","incongruent",0.877925,59
22,"none","direct","congruent",0.988941,57
22,"tooLong","captured","incongruent",1.761021,2
22,"tooLong","direct","incongruent",1.252347,15
