"observer","trial","x","y","dur","onset","n","aoi","aoi2"
"9",313,-250.1,-163.5,184,384,3,"5","target"
"9",314,-13.4,-28.1,1200,0,1,"c","centre"
"9",315,-14.4,-22.6,1210,0,1,"c","centre"
"9",315,181.7,84.5,124,164,2,"2","target"
"9",316,-22.8,-28.5,1186,0,1,"c","centre"
"9",316,177.3,79.2,138,178,2,"2","target"
"9",317,-7,-20.1,1252,0,1,"c","centre"
"9",318,-9.89999999999998,-20.1,1234,0,1,"c","centre"
"9",319,-7.29999999999995,-26.7,1270,0,1,"c","centre"
"9",319,-185.6,-114.2,106,188,2,"5","target"
"9",320,-9.60000000000002,-25.2,1244,0,1,"c","centre"
"9",321,-8.89999999999998,-28.7,1252,0,1,"c","centre"
"9",321,197.5,-149.6,194,236,2,"1","target"
"9",322,-11.8,-29.8,1294,0,1,"c","centre"
"9",322,192.4,-132,142,180,2,"1","target"
"9",323,-9.20000000000005,-22.9,1322,0,1,"c","centre"
"9",323,3,179.3,50,94,2,"3","target"
"9",324,-4.5,-29.8,1210,0,1,"c","centre"
"9",324,1.10000000000002,188.3,94,144,2,"3","target"
"9",325,-5,0,1254,0,1,"c","centre"
"9",325,183.3,-2.79999999999995,74,108,2,"d1","distracter"
"9",325,201.8,96.3,114,250,3,"2","target"
"9",326,-1.5,3.39999999999998,1226,0,1,"c","centre"
"9",326,171.2,-68.4,516,548,2,"1","target"
"9",327,-7.39999999999998,-39.9,1240,0,1,"c","centre"
"9",328,-7.5,-36.3,1216,0,1,"c","centre"
"9",328,-141.3,-255.9,140,192,2,"d5","distracter"
"9",328,-106.1,-192.6,380,596,3,"d5","distracter"
"9",328,-22.7,196.6,140,800,4,"3","target"
"9",329,-14.1,-15.6,328,0,1,"c","centre"
"9",329,-8.79999999999995,-21.5,862,882,2,"c","centre"
"9",329,181.6,78.3,98,1016,3,"2","target"
"9",330,-11.8,-18.3,1212,0,1,"c","centre"
"9",330,-201.9,63.8,106,148,2,"4","target"
"9",331,-10.4,-1.5,1246,0,1,"c","centre"
"9",331,-3.79999999999995,192.2,106,144,2,"3","target"
"9",332,-5.70000000000005,-27.9,328,0,1,"c","centre"
"9",332,-2.79999999999995,-18.7,852,870,2,"c","centre"
"9",332,-115.9,156.9,154,1064,3,"d3","distracter"
"9",333,-11.2,-25.2,1204,0,1,"c","centre"
"9",333,187.6,82.8,112,150,2,"2","target"
"9",334,-10.2,-20,1252,0,1,"c","centre"
"9",335,-5.20000000000005,-26.8,1276,0,1,"c","centre"
"9",335,176.8,76.7,110,140,2,"2","target"
"9",336,-5.60000000000002,-25.9,1222,0,1,"c","centre"
"9",337,-6.10000000000002,-28.6,1280,0,1,"c","centre"
"9",337,-103.5,-164,76,112,2,"d5","distracter"
"9",337,-21.3,193.7,82,252,3,"3","target"
"9",338,-6.89999999999998,-27.1,1196,0,1,"c","centre"
"9",338,193.5,66.3,116,156,2,"2","target"
"9",339,-3.70000000000005,-29.9,1316,0,1,"c","centre"
"9",339,18.3,-220.7,122,158,2,"6","target"
"9",340,-12.9,-26.4,798,0,1,"c","centre"
"9",340,-4.39999999999998,-21.8,502,510,2,"c","centre"
"9",341,-12.2,-32,1212,0,1,"c","centre"
"9",341,130.5,123.2,112,150,2,"2","target"
"9",342,-3.29999999999995,-26.6,330,0,1,"c","centre"
"9",342,-20.2,-27.3,340,348,2,"c","centre"
"9",342,-2,-20.3,546,902,3,"c","centre"
"9",342,190.9,-135.6,150,1090,4,"1","target"
"9",343,-6.70000000000005,-26.2,1240,0,1,"c","centre"
"9",344,-7.20000000000005,-23.4,1252,0,1,"c","centre"
"9",344,-157,48.5,90,116,2,"0","blank"
"9",345,-16.4,-25,1198,0,1,"c","centre"
"9",345,159.6,52.9,102,134,2,"2","target"
"9",346,-11.3,-26.4,1262,0,1,"c","centre"
"9",346,-217.5,-144.7,148,186,2,"5","target"
"9",347,-11.4,-35,1214,0,1,"c","centre"
"9",348,-6.89999999999998,-32.3,1214,0,1,"c","centre"
