"observer","trial","x","y","dur","n","aoi","aoi2"
"18",235,-10.7,-16.1,562,2,"c","centre"
"18",235,217.2,-10.4,204,3,"d1","distracter"
"18",236,5.29999999999995,6.70000000000005,399,1,"c","centre"
"18",236,11.9,-0.799999999999955,708,2,"c","centre"
"18",236,199.7,-143.8,192,3,"1","target"
"18",237,-3.79999999999995,-29.4,1279,1,"c","centre"
"18",238,-15,-17.5,1418,1,"c","centre"
"18",239,22.9,9.29999999999995,1274,1,"c","centre"
"18",239,-61,-18,165,2,"c","centre"
"18",239,155.1,-119.4,181,3,"1","target"
"18",240,2.5,-40.5,287,1,"c","centre"
"18",240,1.39999999999998,-26,162,2,"c","centre"
"18",240,-2.29999999999995,-5.70000000000005,917,3,"c","centre"
"18",240,-6.39999999999998,-277.3,501,4,"6","target"
"18",241,7.70000000000005,-2.70000000000005,764,1,"c","centre"
"18",241,23.6,4.70000000000005,552,2,"c","centre"
"18",242,-14.9,-21.1,1248,1,"c","centre"
"18",242,61,-228.1,167,2,"6","blank"
"18",242,196.3,86.4,136,3,"2","target"
"18",243,-34.3,-31.6,21,1,"c","centre"
"18",243,-45,8.70000000000005,41,2,"c","centre"
"18",243,-38.9,47.8,33,3,"c","centre"
"18",243,7.20000000000005,10.5,922,4,"c","centre"
"18",243,194.8,-161.3,240,5,"1","target"
"18",244,-0.799999999999955,-20.4,516,1,"c","centre"
"18",244,0.5,7.20000000000005,527,2,"c","centre"
"18",244,-120.8,-250.7,156,3,"d5","distracter"
"18",244,-230.8,-181.9,205,4,"5","target"
"18",244,-247.5,-172,863,5,"5","target"
"18",245,-5.20000000000005,2,1336,1,"c","centre"
"18",245,219.1,118,190,2,"2","target"
"18",246,1,-0.100000000000023,1287,1,"c","centre"
"18",246,26.3,86.8,116,2,"c","centre"
"18",246,-221.8,123.1,366,3,"4","target"
"18",246,-287.5,4.5,24,4,"d4","blank"
"18",246,-313.2,0.100000000000023,48,5,"d4","blank"
"18",247,-9.39999999999998,-11.1,1271,1,"c","centre"
"18",248,-8.89999999999998,-30.6,527,1,"c","centre"
"18",248,-5.5,-16.6,485,2,"c","centre"
"18",248,58.5,-209,146,3,"d6","distracter"
"18",249,-4.20000000000005,7.20000000000005,1204,1,"c","centre"
"18",250,-5,-29.1,1569,1,"c","centre"
"18",251,-4.60000000000002,-14.2,36,1,"c","centre"
"18",251,-9.10000000000002,-21.4,1123,2,"c","centre"
"18",251,-198.7,-145.2,132,3,"5","target"
"18",252,-9,-18.2,1505,1,"c","centre"
"18",252,-194.3,-123,145,2,"5","target"
"18",253,5.39999999999998,-12.8,1579,1,"c","centre"
"18",254,11.7,-2.29999999999995,1389,1,"c","centre"
"18",254,38.8,204.6,95,2,"3","target"
"18",255,11,-13.6,529,1,"c","centre"
"18",255,-6.29999999999995,-2.39999999999998,534,2,"c","centre"
"18",255,81.9000000000001,-244.2,196,3,"d6","distracter"
"18",255,128.3,-265.7,257,4,"d6","distracter"
"18",256,-0.799999999999955,-22.8,1218,1,"c","centre"
"18",257,12.1,-24,1463,1,"c","centre"
"18",257,36.3,14.8,91,2,"c","centre"
"18",258,16.8,0.799999999999955,397,1,"c","centre"
"18",258,42.9,47.7,650,2,"c","centre"
"18",258,42.7,-185.3,113,3,"6","target"
"18",258,26.1,-287.4,462,4,"6","target"
"18",259,5.70000000000005,-29.9,337,1,"c","centre"
"18",259,-17.4,-13.9,351,2,"c","centre"
"18",259,-26.4,11,177,3,"c","centre"
"18",259,-73.1,84.5,129,4,"0","blank"
"18",259,-165.9,118.1,123,5,"4","target"
"18",260,0.799999999999955,-2.89999999999998,364,1,"c","centre"
"18",260,-147,98.7,1682,2,"4","target"
"18",261,-6.60000000000002,-3,1274,1,"c","centre"
"18",261,118.8,-111.4,116,2,"0","blank"
"18",261,459.1,-143.8,27,3,"0","blank"
"18",262,-10.8,13.7,277,1,"c","centre"
"18",262,41.6,-1.79999999999995,904,2,"c","centre"
"18",263,0.399999999999977,-31.4,500,1,"c","centre"
"18",263,-30.9,-21.6,453,2,"c","centre"
"18",263,201.4,-40,439,3,"d1","distracter"
"18",263,238.2,-19,131,4,"d1","distracter"
"18",263,-212.7,-156.8,299,5,"5","target"
"18",263,-240.2,-176.7,160,6,"5","target"
"18",264,-0.700000000000045,-16.6,448,1,"c","centre"
"18",264,-0.399999999999977,9,825,2,"c","centre"
"18",265,39.6,-42.6,1863,1,"c","centre"
"18",266,5,-1.29999999999995,506,1,"c","centre"
"18",266,-6.79999999999995,-19.9,362,2,"c","centre"
"18",266,-82.7,202.9,144,3,"d3","distracter"
"18",266,-121.7,203.2,321,4,"d3","distracter"
"18",267,-9.10000000000002,-20.8,1422,1,"c","centre"
"18",268,2.20000000000005,-38.1,1265,1,"c","centre"
"18",268,-181.2,96.8,122,2,"4","target"
"18",269,-5.29999999999995,-21.9,320,1,"c","centre"
"18",269,2.70000000000005,-28.8,647,2,"c","centre"
"18",269,-165.8,-117.6,154,3,"5","target"
"18",270,-0.5,-14.6,1311,1,"c","centre"
"18",270,166.8,-122.1,148,2,"1","target"
"18",271,-4.20000000000005,-17.8,1433,1,"c","centre"
"18",272,-6.5,-9.29999999999995,1375,1,"c","centre"
"18",272,169.8,-147.5,142,2,"1","target"
"18",273,-14.9,-37.9,1295,1,"c","centre"
"18",273,96.4000000000001,167,189,2,"d2","distracter"
"18",273,-192.6,119.7,166,3,"4","target"
"18",274,-18.4,-25.3,342,1,"c","centre"
"18",274,-9.70000000000005,0.299999999999955,565,2,"c","centre"
"18",274,-177.8,-113.7,138,3,"5","target"
"18",275,2.29999999999995,-4.79999999999995,236,1,"c","centre"
"18",275,-3.89999999999998,31.1,615,2,"c","centre"
"18",275,33.5,200.6,366,3,"3","target"
"18",276,-21,-47.9,1597,1,"c","centre"
"18",276,-128.2,-156.8,22,2,"d5","distracter"
"18",276,6.29999999999995,233.1,294,3,"3","target"
"18",277,-6.79999999999995,-21.1,481,1,"c","centre"
"18",277,-12,-37.5,36,2,"c","centre"
"18",277,-11.3,11.8,434,3,"c","centre"
"18",277,0.799999999999955,181.3,207,4,"3","target"
"18",278,-5.89999999999998,-17.6,1261,1,"c","centre"
"18",279,-6.29999999999995,-16.9,1278,1,"c","centre"
"18",279,207.9,-156.6,628,2,"1","target"
"18",279,279.8,-113.1,109,3,"1","target"
"18",280,9.79999999999995,-26.1,1325,1,"c","centre"
"18",280,-29.9,-307.4,126,2,"6","target"
"18",281,2,-3.70000000000005,1055,1,"c","centre"
"18",281,-15,-55.1,51,2,"c","centre"
"18",281,7.29999999999995,44.2,129,3,"c","centre"
"18",281,-88.7,189,455,4,"d3","distracter"
"18",281,162.1,-109.2,106,5,"1","target"
"18",282,-3.10000000000002,-22.2,1490,1,"c","centre"
"18",282,175.4,-114.8,177,2,"1","target"
"18",283,-7.89999999999998,-12.8,1335,1,"c","centre"
"18",284,0.399999999999977,-18.9,1281,1,"c","centre"
"18",284,148.9,-111.7,137,2,"1","target"
"18",285,-1.70000000000005,-23.7,1273,1,"c","centre"
"18",285,167.8,-121.5,176,2,"1","target"
"18",286,19.5,8.39999999999998,1548,1,"c","centre"
"18",287,-1,-14.7,1398,1,"c","centre"
"18",287,-8.60000000000002,-312,113,2,"6","target"
"18",287,0.399999999999977,-275,300,3,"6","target"
"18",288,5.79999999999995,-28.7,1458,1,"c","centre"
"18",289,2.5,-6.29999999999995,640,1,"c","centre"
"18",289,-124,-58.8,850,2,"0","blank"
"18",290,15.9,-6.10000000000002,1331,1,"c","centre"
"18",290,235.3,-5.10000000000002,195,2,"d1","distracter"
"18",291,5.5,-9.70000000000005,1232,1,"c","centre"
"18",291,175.8,-134.9,158,2,"1","target"
