observer,trial,x,y,dur,n
1,77,647.7,1946.8,37,5
1,77,637.8,2025.8,80,6
1,77,537.6,2132,36,7
1,77,691.1,2028.4,459,8
1,78,944.6,546.9,1291,1
1,78,981,793.5,110,2
1,78,949.5,785.2,769,3
1,78,705.3,2102.6,376,4
1,79,945.3,550.9,1355,1
1,79,754.9,649.3,149,2
1,79,726.5,663.7,567,3
1,80,941.9,552,1267,1
1,80,1049.3,730.4,41,2
1,80,775.6,677.5,105,3
1,80,714.5,658.5,2061,4
1,80,702.3,660.3,311,5
1,80,715.1,659.9,296,6
1,80,592,2122.3,80,7
1,80,756.5,1203.5,23,8
1,80,726.3,927.4,94,9
1,80,674.5,1882,136,10
1,80,693.2,1842,164,11
1,81,944.9,550.2,1216,1
1,81,1167.4,559.9,213,2
1,81,1196,553,158,3
1,81,1176.3,644.3,649,4
1,81,704.2,2048.3,194,5
1,82,944.1,550.7,1310,1
1,82,948.5,768.5,1194,2
1,82,963.7,783.7,446,3
1,82,686.1,2011.8,137,4
1,83,942.1,549.2,1269,1
1,83,1153.7,650.1,895,2
1,84,947,548.4,1278,1
1,84,951.1,780.1,685,2
1,85,941.2,548.5,1228,1
1,85,820.1,478.5,99,2
1,85,742.3,424,182,3
1,85,714.6,406.7,337,4
1,86,943,552.2,1225,1
1,86,849.8,758.4,94,2
1,86,942.2,772.5,879,3
1,86,711.9,1983.4,120,4
1,87,943.7,555.2,1198,1
1,87,767.8,450.5,136,2
1,87,729.7,412.8,451,3
1,88,943.5,545.5,320,1
1,88,947.8,556,694,2
1,88,1180.7,670.8,577,3
1,89,945.4,551.5,1188,1
1,89,1053.5,340.5,139,2
1,89,1136.4,421.6,162,3
1,89,1162.9,421.3,468,4
1,89,627.6,2112.7,242,5
1,89,668.5,2099.8,185,6
1,90,942.7,554.9,1240,1
1,90,1179.6,665.6,477,2
1,90,633.4,2124,33,3
1,91,940.9,553.5,1268,1
1,91,951.3,776.2,504,2
1,92,944.1,548.2,1204,1
1,92,752.9,516.4,91,2
1,92,735.1,412.9,645,3
1,92,711.9,1972.8,193,4
1,93,946.6,553.2,1215,1
1,93,1140.5,452.5,143,2
1,93,1155.8,423.4,330,3
1,93,682.2,1958.2,137,4
1,94,946.2,555.3,1202,1
1,94,1057.8,368.9,215,2
1,94,750.2,690.9,112,3
1,94,723.1,679.6,263,4
1,94,668,2041.6,478,5
1,94,684.4,1912.2,204,6
1,95,936.3,544.9,1225,1
1,95,1177.2,661.2,479,2
1,96,946.6,548.8,1193,1
1,96,873.3,355.5,106,2
1,96,939.7,297.9,150,3
1,96,946.3,273.1,816,4
1,97,944.8,553.1,1201,1
1,97,774.1,446.3,114,2
1,97,732.3,410.9,237,3
1,98,947,546.3,1267,1
1,98,1146.4,442.9,231,2
1,98,1163.4,421,259,3
1,99,946.6,551.6,1191,1
1,99,1110.3,464.4,120,2
1,99,1158.6,424.6,498,3
1,99,708.1,1936.3,152,4
1,100,942.8,554.1,1288,1
1,100,1142.7,434,382,2
1,101,943.7,536.6,1201,1
1,101,1136.7,455.1,137,2
1,101,1153.5,431.9,363,3
1,101,710.9,1946.9,131,4
1,101,688.7,2003.1,479,5
1,102,954.4,539.9,1220,1
1,102,1177.6,648.4,371,2
1,103,956,545.6,1209,1
1,103,971.7,357.8,48,2
1,103,965.7,287.3,306,3
1,104,958,541.8,1193,1
1,104,973.7,313.3,63,2
1,104,970.2,280.9,297,3
1,105,951.8,553,1198,1
1,105,787.6,478.6,136,2
1,105,738.5,419.9,310,3
1,106,953.3,549.9,1213,1
1,106,966.1,361.6,32,2
1,106,962.9,270.2,285,3
1,107,948.5,547.3,1235,1
1,107,953.9,818.3,104,2
1,107,947.9,807.4,122,3
1,107,960.3,773.8,186,4
1,108,949,552.4,1250,1
1,108,1117.6,454.2,113,2
1,108,1153.7,422.7,217,3
1,109,949,546.8,1217,1
1,109,916,768.5,104,2
1,109,948.3,783.9,369,3
1,109,959.3,783.3,284,4
1,110,949.5,547.5,1211,1
1,110,1165,657.3,359,2
1,111,950.6,547.3,1225,1
1,111,1123.6,671,116,2
1,111,1174,655.2,457,3
1,112,947,545.7,1206,1
1,112,967.3,288,161,2
1,112,951.8,275,290,3
1,113,943.7,548.4,1220,1
1,113,1161.7,665.2,341,2
1,114,945.3,546.8,1211,1
1,114,1178.5,573.9,105,2
1,114,1172.9,662.6,544,3
1,115,946.4,549.7,1212,1
1,115,1047.7,344.2,93,2
1,115,1133.9,442.7,129,3
1,115,1154.7,427.8,154,4
1,115,1171.9,419.9,256,5
1,115,704.8,1997.3,188,6
1,115,710.2,2008.7,244,7
1,116,949.8,551.9,1221,1
1,116,1109.2,479.2,98,2
1,116,1152.7,436.6,299,3
1,117,950,544.4,1247,1
1,117,965.4,366.6,35,2
1,117,959.9,280.9,224,3
1,118,948.7,548.4,1363,1
1,118,979.1,545.6,112,2
1,118,746.8,413.8,307,3
1,118,683.3,1907.4,58,4
1,119,948,552.4,1209,1
1,119,1144.8,451.9,133,2
1,119,1158.2,415.7,225,3
1,120,945.5,546.5,1202,1
1,120,1170.6,465.7,111,2
1,120,1163.6,435.8,305,3
1,121,952.2,549.6,1218,1
1,121,959.8,804.9,80,2
1,121,955.2,782.7,273,3
1,122,955.3,553,1210,1
1,122,1181.4,659.9,473,2
1,122,665.8,2027.8,152,3
1,123,954.5,546.5,1204,1
1,123,1196.2,556.8,113,2
1,123,1163.4,434,489,3
1,123,680.7,2094.4,141,4
1,123,676.1,2042.7,1106,5
1,124,954.6,555.3,1214,1
1,124,1144.7,429.7,272,2
1,125,951.7,544,1210,1
1,125,949.6,273.1,344,2
1,125,652,1994,268,3
1,126,944.4,549.6,1224,1
1,126,817.5,481.8,96,2
1,126,757.6,427.2,171,3
1,126,646.4,1966.6,105,4
1,127,944.1,547.2,1209,1
1,127,751.7,674.4,126,2
1,127,727.9,660.6,295,3
1,128,947.5,548.2,1197,1
1,128,847.2,340,96,2
1,128,947.2,271.8,629,3
1,128,690.2,2031.8,167,4
1,128,665.3,2080,183,5
1,129,948.4,549.2,1212,1
1,129,1179,557.8,112,2
1,129,730.7,403.5,550,3
1,129,712.7,422.2,531,4
1,129,654.8,2110.6,281,5
1,130,944,555.9,907,1
1,130,946.4,561,98,2
1,130,960,553.3,98,3
1,130,789.3,433.3,135,4
1,130,727.5,422.5,165,5
1,130,712.3,406.9,415,6
1,131,952.8,554.8,517,1
1,131,956.4,550.3,526,2
1,131,1049.4,691.7,110,3
1,131,737.9,400,403,4
1,131,720.3,416.6,405,5
1,131,734.1,408.8,1715,6
1,131,550.8,2057.8,292,7
1,131,715,347.3,146,8
1,131,746.6,420,319,9
1,131,730.4,433.5,233,10
1,132,945.9,549.1,1187,1
1,132,869.2,365.9,114,2
1,132,819.4,322.7,342,3
1,132,1171.1,418.9,1420,4
1,132,666.4,2025.7,226,5
1,132,681.5,2091.3,184,6
1,133,956.6,550.4,1420,1
1,133,1166,649.4,225,2
1,133,1190,667.6,302,3
1,134,955.2,560.2,1292,1
1,134,959.7,792.6,576,2
1,135,942.1,547.8,1206,1
1,135,1167.6,551.2,128,2
1,135,953.4,799.5,140,3
1,135,953.4,779.5,944,4
1,135,964.3,787.6,546,5
1,135,685.8,2113.1,224,6
1,136,949.2,555.6,1264,1
1,136,1146.8,650.1,243,2
1,136,1174.4,656.9,377,3
1,137,952.4,552.6,1214,1
1,137,953.5,794,506,2
1,138,948.2,550.5,1304,1
1,138,1105.9,537.5,42,2
1,138,919.1,280.5,159,3
1,138,939.7,266.5,280,4
1,139,948.7,551.9,1200,1
1,139,748.9,677.2,169,2
1,139,730.6,673,350,3
1,140,946.8,555.7,1187,1
1,140,1180.9,565.8,88,2
1,140,1159.6,425.6,605,3
1,141,948.5,553.4,1202,1
1,141,1136.8,445.1,144,2
1,141,1150.1,424.7,204,3
1,141,690.7,2014.7,225,4
1,142,947,551,1214,1
1,142,1162.6,660.6,567,2
1,142,673.9,2063.4,550,3
1,143,951.8,548.9,1288,1
1,143,737.5,687,125,2
1,143,724.1,673.7,359,3
1,144,945.5,550.6,1210,1
1,144,950.6,821.1,108,2
1,144,955.6,800.5,301,3
1,145,948,556,1221,1
1,145,964.5,318.2,112,2
