"observer","trial","x","y","dur","onset","offset","n","aoi2","aoi"
"3",91,-3.29999999999995,-7.70000000000005,1196,0,6475705,1,"centre","c"
"3",91,159.4,-74.1,93,1226,6475828,2,"target","1"
"3",91,224.6,-116.9,391,1345,6476245,3,"target","1"
"3",92,-5.20000000000005,-6.60000000000002,1194,0,6481437,1,"centre","c"
"3",92,-170.5,-89.2,103,1224,6481570,2,"target","5"
"3",92,-230.5,-124.6,513,1347,6482103,3,"target","5"
"3",93,-4.5,-9,1281,0,6488157,1,"centre","c"
"3",93,200,111.4,139,1325,6488340,2,"target","2"
"3",93,234.4,132.5,396,1477,6488749,3,"target","2"
"3",94,-3.29999999999995,-10.5,1068,0,6493499,1,"centre","c"
"3",94,-100.4,126,93,1100,6493624,2,"distracter","d3"
"3",94,-222.2,142.4,482,1217,6494130,3,"target","4"
"3",95,-10.1,-4.89999999999998,1182,0,6502143,1,"centre","c"
"3",95,-4.5,25.8,110,1202,6502273,2,"centre","c"
"3",95,193,120.8,145,1352,6502458,3,"target","2"
"3",95,234,134.1,221,1511,6502693,4,"target","2"
"3",96,-1.89999999999998,-10.7,29,0,6507400,1,"centre","c"
"3",96,-0.799999999999955,-7.60000000000002,1028,183,6508582,2,"centre","c"
"3",96,-134.3,-109,113,1238,6508722,3,"target","5"
"3",96,-151.7,-149.7,42,1370,6508783,4,"target","5"
"3",96,-232.4,-137.5,487,1439,6509297,5,"target","5"
"3",97,0.600000000000023,-10.7,1219,0,6514648,1,"centre","c"
"3",97,14.9,-186.6,90,1256,6514775,2,"target","6"
"3",97,-1,-229.7,399,1363,6515191,3,"target","6"
"3",98,5.79999999999995,-10.7,1161,0,6521477,1,"centre","c"
"3",98,64.0999999999999,172.5,106,1202,6521624,2,"distracter","d2"
"3",98,23.8,241.7,127,1330,6521773,3,"target","3"
"3",98,5.79999999999995,257.6,338,1465,6522119,4,"target","3"
"3",99,-6,-9.89999999999998,1374,0,6528004,1,"centre","c"
"3",99,175.7,82.3,94,1416,6528140,2,"target","2"
"3",99,220.9,123.1,297,1528,6528455,3,"target","2"
"3",100,-13.5,-11.1,1206,0,6533919,1,"centre","c"
"3",100,214.2,-19.8,116,1242,6534071,2,"distracter","d1"
"3",100,-192.2,-106.3,132,1400,6534245,3,"target","5"
"3",100,-228.2,-125.3,563,1553,6534829,4,"target","5"
"3",101,-4.5,-0.299999999999955,1271,0,6549721,1,"centre","c"
"3",101,1.89999999999998,-159.1,63,1318,6549831,2,"target","6"
"3",101,-7,-245.9,544,1407,6550401,3,"target","6"
"3",102,-10,-3.20000000000005,1160,0,6555436,1,"centre","c"
"3",102,199.9,-121,151,1211,6555638,2,"target","1"
"3",102,226.8,-119.6,443,1372,6556091,3,"target","1"
"3",103,-10.3,-15.2,20,0,6560588,1,"centre","c"
"3",103,-4.39999999999998,-7.70000000000005,1145,165,6561878,2,"centre","c"
"3",103,187.5,-22.3,30,1401,6561999,3,"distracter","d1"
"3",103,-206.1,-111.7,126,1485,6562179,4,"target","5"
"3",103,-227.5,-129,274,1621,6562463,5,"target","5"
"3",104,-1.79999999999995,-4.39999999999998,1225,0,6569309,1,"centre","c"
"3",104,194.8,-89.9,98,1257,6569439,2,"target","1"
"3",104,233.9,-116.6,333,1377,6569794,3,"target","1"
"3",105,-8.29999999999995,-7.60000000000002,1215,0,6579117,1,"centre","c"
"3",105,-193.9,-5.10000000000002,135,1241,6579278,2,"distracter","d4"
"3",105,-231.5,-63.9,74,1408,6579384,3,"target","5"
"3",105,-235.2,-112.1,328,1500,6579730,4,"target","5"
"3",106,-7,-6.29999999999995,285,0,6584820,1,"centre","c"
"3",106,-8.5,-17,70,457,6585062,2,"centre","c"
"3",106,-4.20000000000005,-4.10000000000002,925,540,6586000,3,"centre","c"
"3",106,10.1,-237.1,366,1517,6586418,4,"target","6"
"3",107,-7.29999999999995,-12.9,1187,0,6595292,1,"centre","c"
"3",107,-156.3,-141.9,64,1226,6595395,2,"blank","5"
"3",107,-135.5,-215.4,116,1313,6595534,3,"distracter","d5"
"3",107,-206,122.3,94,1484,6595683,4,"target","4"
"3",107,-241.5,134.7,255,1601,6595961,5,"target","4"
"3",108,-12.9,-17,1184,0,6603238,1,"centre","c"
"3",108,-222.4,-119.6,188,1223,6603465,2,"target","5"
"3",108,-241.5,-131.2,368,1420,6603842,3,"target","5"
"3",109,-6.79999999999995,-15.3,1070,0,6608896,1,"centre","c"
"3",109,-160.8,-10.9,122,1094,6609042,2,"distracter","d4"
"3",109,-5.29999999999995,-225.3,430,1270,6609526,3,"target","6"
"3",110,-3.20000000000005,-12.5,1214,0,6614853,1,"centre","c"
"3",110,101,-140.7,95,1253,6614987,2,"distracter","d6"
"3",110,190.3,132.1,97,1401,6615137,3,"target","2"
"3",110,225.7,131.9,316,1518,6615473,4,"target","2"
"3",111,-10.9,-9.89999999999998,1208,0,6621481,1,"centre","c"
"3",111,115.6,-177.4,135,1251,6621659,2,"distracter","d6"
"3",111,15.6,253.4,127,1439,6621839,3,"target","3"
"3",111,-13.6,256.8,203,1585,6622061,4,"target","3"
"3",112,-6.39999999999998,-9.39999999999998,1183,0,6627523,1,"centre","c"
"3",112,79.7,161.4,96,1219,6627655,2,"distracter","d2"
"3",112,228.7,126,365,1341,6628046,3,"target","2"
"3",113,-4.29999999999995,-8.10000000000002,1118,0,6633634,1,"centre","c"
"3",113,192.2,-112.1,116,1156,6633788,2,"target","1"
"3",113,227.1,-121,446,1284,6634246,3,"target","1"
"3",114,-8.70000000000005,-10.6,1218,0,6639560,1,"centre","c"
"3",114,-2.70000000000005,240.2,180,1255,6639777,2,"target","3"
"3",114,-7.5,258.7,398,1444,6640184,3,"target","3"
"3",115,-3.20000000000005,-15.3,313,0,6644972,1,"centre","c"
"3",115,-0.100000000000023,-8.29999999999995,901,322,6645882,2,"centre","c"
"3",115,232.9,-27.6,130,1256,6646045,3,"distracter","d1"
"3",115,209.1,149.7,100,1418,6646177,4,"target","2"
"3",115,236.8,142,406,1532,6646597,5,"target","2"
"3",116,-2.70000000000005,-12.8,12,0,6652255,1,"centre","c"
"3",116,1.60000000000002,-9.60000000000002,1044,210,6653497,2,"centre","c"
"3",116,3.89999999999998,-224,146,1291,6653680,3,"target","6"
"3",116,-4.5,-248.6,600,1446,6654289,4,"target","6"
"3",117,-2.60000000000002,-10.4,1218,0,6661428,1,"centre","c"
"3",117,108.9,41.8,108,1243,6661561,2,"blank","0"
"3",117,229.8,131.1,402,1381,6661993,3,"target","2"
"3",118,-10,-3.79999999999995,1156,0,6667071,1,"centre","c"
"3",118,-127.6,-225,77,1208,6667200,2,"distracter","d5"
"3",118,-212.5,117.2,123,1324,6667362,3,"target","4"
"3",118,-236.1,136.2,407,1468,6667790,4,"target","4"
"3",119,-9.79999999999995,-2.39999999999998,107,0,6671903,1,"centre","c"
"3",119,-8.29999999999995,35.3,122,124,6672042,2,"centre","c"
"3",119,-8.39999999999998,0.700000000000045,171,267,6672234,3,"centre","c"
"3",119,30.3,13.5,106,454,6672356,4,"centre","c"
"3",119,-12.2,-11.4,625,581,6673002,5,"centre","c"
"3",119,138.9,-198,125,1257,6673178,6,"distracter","d6"
"3",119,126.1,-216,150,1390,6673336,7,"distracter","d6"
"3",119,-3,254.9,618,1588,6674002,8,"target","3"
"3",120,-9.60000000000002,-8.89999999999998,1191,0,6679438,1,"centre","c"
"3",120,103.3,208.1,165,1232,6679644,2,"distracter","d2"
"3",120,132,219.6,98,1412,6679757,3,"distracter","d2"
"3",120,2.79999999999995,-285.3,113,1573,6679933,4,"target","6"
"3",121,-6.10000000000002,-8.10000000000002,1258,0,6685183,1,"centre","c"
"3",121,4.60000000000002,-120.5,76,1287,6685288,2,"blank","0"
"3",121,-12.9,-219.1,161,1388,6685474,3,"target","6"
"3",121,-3.60000000000002,-245.7,736,1560,6686221,4,"target","6"
"3",122,-45.7,-28.6,193,0,6690918,1,"centre","c"
